theme,n_total,share_total,n_alt,share_alt,repr_ratio,theme_short
"Business, Education, Mathematics Research",708,8.336276933945602,8.0,2.3391812865497075,0.2806026365348399,"Business, Education, Mathematics Research"
Education and Teacher Training,292,3.438125515130107,5.0,1.461988304093567,0.4252283105022831,Education and Teacher Training
"Business, Innovation, and Economy",736,8.665960202519722,13.0,3.8011695906432745,0.4386322463768116,"Business, Innovation, and Economy"
Stress and Burnout Research,195,2.2960084775697633,6.0,1.7543859649122806,0.764102564102564,Stress and Burnout Research
Communication and COVID-19 Impact,102,1.2009890498057225,7.0,2.046783625730994,1.7042483660130716,Communication and COVID-19 Impact
Cuban History and Society,342,4.026845637583892,29.0,8.47953216374269,2.1057504873294346,Cuban History and Society
Healthcare Systems and Reforms,29,0.3414576710231956,5.0,1.461988304093567,4.281609195402298,Healthcare Systems and Reforms
Global Public Health Policies and Epidemiology,28,0.32968326857411984,5.0,1.461988304093567,4.434523809523809,Global Public Health Policies and Epidemi…
Resilience and Mental Health,20,0.23548804898151418,4.0,1.1695906432748537,4.966666666666667,Resilience and Mental Health
Vaccine Coverage and Hesitancy,24,0.282585658777817,7.0,2.046783625730994,7.243055555555556,Vaccine Coverage and Hesitancy
COVID-19 and Mental Health,71,0.8359825738843754,25.0,7.309941520467836,8.744131455399062,COVID-19 and Mental Health
